file,metric,return_period,min,max,mean
FS_001_001y_010m_dmax.tif,dmax,001y,0.0,255.0,248.2923459008678
FS_001_001y_010m_hmax.tif,hmax,001y,0.0,255.0,248.37494829975898
FS_001_001y_010m_Vmax.tif,vmax,001y,0.0,255.0,247.803683001998
FS_001_001y_010m_Z0max.tif,z0max,001y,0.0,255.0,12.56263281613644
FS_001_002y_010m_dmax.tif,dmax,002y,0.0,255.0,246.57414560084433
FS_001_002y_010m_hmax.tif,hmax,002y,0.0,255.0,246.34502633957106
FS_001_002y_010m_Vmax.tif,vmax,002y,0.0,255.0,245.87421963429293
FS_001_002y_010m_Z0max.tif,z0max,002y,0.0,255.0,250.47284489409068
FS_001_005y_010m_dmax.tif,dmax,005y,0.0,255.0,244.285413854757
FS_001_005y_010m_hmax.tif,hmax,005y,0.0,255.0,244.22703763777548
FS_001_005y_010m_Vmax.tif,vmax,005y,0.0,255.0,243.53833791666506
FS_001_005y_010m_Z0max.tif,z0max,005y,0.0,255.0,247.85194736494083
FS_001_010y_010m_dmax.tif,dmax,010y,0.0,255.0,242.12275938610583
FS_001_010y_010m_hmax.tif,hmax,010y,0.0,255.0,242.34448761981815
FS_001_010y_010m_Vmax.tif,vmax,010y,0.0,255.0,241.22704606540097
FS_001_010y_010m_Z0max.tif,z0max,010y,0.0,255.0,246.2824609444386
FS_001_020y_010m_dmax.tif,dmax,020y,0.0,255.0,240.15878359543248
FS_001_020y_010m_hmax.tif,hmax,020y,0.0,255.0,240.3778324925156
FS_001_020y_010m_Vmax.tif,vmax,020y,0.0,255.0,239.37349615505795
FS_001_020y_010m_Z0max.tif,z0max,020y,0.0,255.0,246.50867202663648
FS_001_050y_010m_dmax.tif,dmax,050y,0.0,255.0,238.5238955596786
FS_001_050y_010m_hmax.tif,hmax,050y,0.0,255.0,238.85031888838324
FS_001_050y_010m_Vmax.tif,vmax,050y,0.0,255.0,237.72254182371222
FS_001_050y_010m_Z0max.tif,z0max,050y,0.0,255.0,244.43268401720272
FS_100y_010m_102_d(maxmax)_g002.tif,dmaxmax,100y,0.0,255.0,219.73659845476246
FS_100y_010m_102_h(maxmax)_g002.tif,hmaxmax,100y,0.0,255.0,238.63265990122824
FS_100y_020m_301_d(maxmax)_g002.tif,dmaxmax,100y,0.0,255.0,229.24091404729583
FS_100y_020m_301_h(maxmax)_g002.tif,hmaxmax,100y,0.0,255.0,243.21612062136234
